image, area, mean, I1, I2, I3, I4
o1.png,98812,4615500059,16500937455,357492300072337900000,4.672443053870251e+25,6.059535961792217e+25
o2.png,55613,3378562986,9947662890,144614748374560100000,8.965666119969185e+24,1.780992580075396e+25
o3.png,103432,2874078561,9220515848,118059222802418480000,5.638029505909931e+24,1.021913203798127e+25
ot.png,34842,668411343,2371310238,7410207138647871000,3.614663069149436e+23,4.9909388417346375e+23
w1.png,30007,238577928,986368845,1200601209301726700,3.2870346295289036e+22,4.564833072702337e+22
w2.png,9309,39287907,106871921,17595766043992836,66359936793638770000,175954359903222560000
w3.png,9978,102566054,361053552,172438849144340350,4.126158702206278e+21,6.012170286117527e+21
wt.png,10461,137586387,409781426,243640872645448540,5.69254097484433e+21,8.501342500065443e+21
